Year	PM2	PM10	Notes	Notes	Year	City	Country
2013	19	46	"2 stations, traffic, urban"	measured data	2013	BENEVENTO	Italy
2013	23	32	"2 stations, background, urban"	measured data	2013	BERGAMO	Italy
2013	23	35	"1 station, background, rural"	measured data	2013	BERTONICO	Italy
2013	21	33	-	converted from PM2.5	2013	BESENZONE	Italy
2013	14	20	"1 station, background, urban"	measured data	2013	BIELLA	Italy
2013	17	25	"3 stations, background, urban"	measured data	2013	BOLOGNA	Italy
2013	11	17	"1 station, traffic, urban"	measured data	2013	BOLZANO	Italy
2013	27	35	"1 station, background, suburban"	measured data	2013	BORGARO TORINESE	Italy
2013	17	26	"1 station, background, urban"	measured data	2013	BORGO VALSUGANA	Italy
2013	20	31	"1 station, background, rural"	measured data	2013	BORGOFRANCO SUL PO	Italy
2013	17	23	"1 station, background, urban"	measured data	2013	BORGOSESIA	Italy
2013	11	17	"1 station, background, urban"	measured data	2013	BORMIO	Italy
2013	13	19	"1 station, traffic, urban"	measured data	2013	BOSCO CHIESANUOVA	Italy
2013	31	37	"2 stations, background suburban, traffic, urban"	measured data	2013	BRESCIA	Italy
2013	9	14	"1 station, background, urban"	measured data	2013	BRESSANONE	Italy
2013	16	24	"1 station, traffic, urban"	measured data	2013	BRINDISI	Italy
2013	10	15	"1 station, background, urban"	measured data	2013	BRUNICO	Italy
2013	19	29	"1 station, background, suburban"	measured data	2013	BUSTO ARSIZIO	Italy
2013	11	31	"1 station, traffic, urban"	measured data	2013	CAGLIARI	Italy
2013	18	24	"3 stations, industrial, suburban"	measured data	2013	CAIRO MONTENOTTE	Italy
2013	21	30	"1 station, background, suburban"	measured data	2013	CALUSCO D'ADDA	Italy
2013	15	30	"1 station, background, suburban"	measured data	2013	CAMPI SALENTINA	Italy
2013	14	22	"1 station, traffic, urban"	measured data	2013	CAMPOBASSO	Italy
2013	18	27	"1 station, background, suburban"	measured data	2013	CANTU'	Italy
2013	16	24	"1 station, background, urban"	measured data	2013	CAPANNORI	Italy
2013	17	26	"1 station, industrial, suburban"	measured data	2013	CARCARE	Italy
2013	20	30	"1 station, background, suburban"	measured data	2013	CARPI	Italy
2013	16	24	"1 station, background, urban"	measured data	2013	CARRARA	Italy
2013	17	26	"1 station, background, urban"	measured data	2013	CASALE MONFERRATO	Italy
2013	18	29	"2 stations, traffic, urban"	measured data	2013	CASERTA	Italy
2013	29	37	"1 station, background, rural"	measured data	2013	CASIRATE D'ADDA	Italy
2013	29	38	"1 station, traffic, urban"	measured data	2013	CASSINO	Italy
2013	17	25	"1 station, traffic, urban"	measured data	2013	CASTELLARANO	Italy
2013	31	47	"1 station, traffic, urban"	measured data	2013	CECCANO	Italy
2013	7	11	"1 station, background, rural-nearcity"	measured data	2013	CENGIO	Italy
2013	17	25	"1 station, background, suburban"	measured data	2013	CENTO	Italy
2013	4	6	"1 station, background, rural"	measured data	2013	CERESOLE REALE	Italy
2013	16	25	"1 station, background, suburban"	measured data	2013	CERVIA	Italy
2013	15	23	"1 station, background, urban"	measured data	2013	CESENA	Italy
2013	28	42	-	converted from PM2.5	2013	CHIERI	Italy
2013	6	9	"1 station, background, rural"	measured data	2013	CHITIGNANO	Italy
2013	19	29	"1 station, traffic, urban"	measured data	2013	CIAMPINO	Italy
2013	17	26	"1 station, background, rural"	measured data	2013	CINTO EUGANEO	Italy
2013	17	25	"1 station, background, urban"	measured data	2013	CIVITA CASTELLANA	Italy
2013	14	21	"1 station, background, urban"	measured data	2013	CIVITAVECCHIA	Italy
2013	27	41	"1 station, traffic, urban"	measured data	2013	CODOGNO	Italy
2013	19	29	"2 stations, background, suburban"	measured data	2013	COLLEFERRO	Italy
2013	18	28	"1 station, background, suburban"	measured data	2013	COLORNO	Italy
2013	21	28	"1 station, traffic, urban"	measured data	2013	COMO	Italy
2013	23	25	"1 station, background, urban"	measured data	2013	CONEGLIANO	Italy
2013	6	9	"1 station, background, rural"	measured data	2013	CORTE BRUGNATELLA	Italy
2013	16	24	"1 station, background, urban"	measured data	2013	COSSATO	Italy
2013	26	39	"1 station, traffic, urban"	measured data	2013	CREMA	Italy
2013	27	35	"3 stations, background suburban, traffic, urban"	measured data	2013	CREMONA	Italy
2013	15	22	"1 station, background, urban"	measured data	2013	CUNEO	Italy
2013	27	35	"1 station, background, suburban"	measured data	2013	DARFO BOARIO TERME	Italy
2013	11	14	"1 station, background, rural"	measured data	2013	DERNICE	Italy
2013	13	20	"1 station, background, rural"	measured data	2013	DONNAS	Italy
2013	16	24	"1 station, background, rural"	measured data	2013	DRUENTO	Italy
2013	18	27	"1 station, industrial, suburban"	measured data	2013	ESTE	Italy
2013	15	20	"1 station, background, urban"	measured data	2013	FAENZA	Italy
2013	22	25	"1 station, background, suburban"	measured data	2013	FELTRE	Italy
2013	23	34	"1 station, traffic, urban"	measured data	2013	FERENTINO	Italy
2013	22	33	"1 station, background, urban"	measured data	2013	FERNO	Italy
2013	19	29	"2 stations, background suburban, traffic, urban"	measured data	2013	FERRARA	Italy
2013	22	33	"1 station, traffic, urban"	measured data	2013	FIORANO MODENESE	Italy
2013	16	26	"4 stations, background suburban, traffic, urban"	measured data	2013	FIRENZE	Italy
2013	15	23	"1 station, traffic, urban"	measured data	2013	FOGGIA	Italy
2013	19	27	"1 station, traffic, urban"	measured data	2013	FOLIGNO	Italy
2013	14	18	"1 station, background, rural"	measured data	2013	FONTECHIARI	Italy
2013	15	24	"2 stations, traffic, urban"	measured data	2013	FORLI'	Italy
2013	22	34	"1 station, traffic, suburban"	measured data	2013	FRANCAVILLA FONTANA	Italy
2013	24	40	"2 stations, traffic, urban"	measured data	2013	FROSINONE	Italy
2013	16	24	-	converted from PM2.5	2013	GALATINA	Italy
2013	9	21	"4 stations, background urban, traffic urban, industrial, urban"	measured data	2013	GENOVA	Italy
2013	6	9	"1 station, background, rural"	measured data	2013	GIANO DELL'UMBRIA	Italy
2013	15	23	-	converted from PM2.5	2013	GORIZIA	Italy
2013	11	17	"1 station, background, urban"	measured data	2013	GROSSETO	Italy
2013	12	18	"1 station, background, suburban"	measured data	2013	GROTTAGLIE	Italy
2013	18	27	"1 station, background, suburban"	measured data	2013	GUAGNANO	Italy
2013	21	29	"1 station, background, rural"	measured data	2013	GUASTALLA	Italy
2013	12	18	"4 stations, traffic, suburban"	measured data	2013	GUBBIO	Italy
2013	16	25	"1 station, traffic, suburban"	measured data	2013	GUIDONIA MONTECELIO	Italy
2013	15	23	"1 station, traffic, urban"	measured data	2013	IMOLA	Italy
2013	13	17	"1 station, background, rural"	measured data	2013	JOLANDA DI SAVOIA	Italy
2013	14	23	"4 stations, traffic, urban"	measured data	2013	LA SPEZIA	Italy
2013	14	14	"1 station, background, urban"	measured data	2013	LACES	Italy
2013	15	23	-	converted from PM2.5	2013	LAIVES	Italy
2013	12	17	"1 station, background, rural"	measured data	2013	LANGHIRANO	Italy
2013	16	27	"3 stations, traffic, urban"	measured data	2013	LATINA	Italy
2013	12	22	"2 stations, background, rural"	measured data	2013	LECCE	Italy
2013	15	24	"2 stations, traffic, urban"	measured data	2013	LECCO	Italy
2013	23	35	"1 station, background, urban"	measured data	2013	LEGNAGO	Italy
2013	8	11	"1 station, background, rural"	measured data	2013	LEONESSA	Italy
2013	13	23	"1 station, traffic, urban"	measured data	2013	LIVORNO	Italy
2013	23	35	"2 stations, traffic, urban"	measured data	2013	LODI	Italy
2013	19	29	"1 station, traffic, urban"	measured data	2013	LUCCA	Italy
2013	14	21	"1 station, background, suburban"	measured data	2013	LUGAGNANO VAL D'ARDA	Italy
2013	19	28	"1 station, traffic, suburban"	measured data	2013	MADDALONI	Italy
2013	26	39	"1 station, background, urban"	measured data	2013	MAGENTA	Italy
2013	12	17	"2 stations, traffic, suburban"	measured data	2013	MANFREDONIA	Italy
2013	28	33	"3 stations, background urban, traffic urban, industrial, suburban"	measured data	2013	MANTOVA	Italy
2013	28	42	"1 station, traffic, urban"	measured data	2013	MEDA	Italy
2013	10	15	"1 station, traffic, urban"	measured data	2013	MERANO	Italy
2013	27	36	"1 station, traffic, urban"	measured data	2013	MERATE	Italy
2013	16	24	"1 station, background, suburban"	measured data	2013	MESAGNE	Italy
2013	30	37	"3 stations, background, rural"	measured data	2013	MILANO	Italy
2013	20	30	-	converted from PM2.5	2013	MIRANDOLA	Italy
2013	18	29	"2 stations, traffic, urban"	measured data	2013	MODENA	Italy
2013	16	24	"1 station, traffic, urban"	measured data	2013	MOLFETTA	Italy
2013	17	23	"1 station, background, rural"	measured data	2013	MOLINELLA	Italy
2013	10	15	"1 station, traffic, suburban"	measured data	2013	MONDAINO	Italy
2013	13	20	-	converted from PM2.5	2013	MONOPOLI	Italy
2013	13	28	"1 station, background, urban"	measured data	2013	MONSERRATO	Italy
2013	19	29	"1 station, background, rural"	measured data	2013	MONTALE	Italy
2013	31	38	"1 station, background, urban"	measured data	2013	MONZA	Italy
2013	16	25	"1 station, background, urban"	measured data	2013	MORBEGNO	Italy
2013	15	22	"1 station, traffic, suburban"	measured data	2013	MORGEX	Italy
2013	14	22	"1 station, industrial, suburban"	measured data	2013	MUGGIA	Italy
2013	20	35	"8 stations, traffic, urban"	measured data	2013	NAPOLI	Italy
2013	19	28	"2 stations, background, urban"	measured data	2013	NOVARA	Italy
2013	15	23	"1 station, background, rural"	measured data	2013	NURAMINIS	Italy
2013	19	28	"1 station, background, suburban"	measured data	2013	ODOLO	Italy
2013	13	20	"2 stations, traffic, urban"	measured data	2013	OLBIA	Italy
2013	18	28	"1 station, background, suburban"	measured data	2013	OSIO SOTTO	Italy
2013	16	25	-	converted from PM2.5	2013	OSTELLATO	Italy
2013	12	18	"1 station, traffic, suburban"	measured data	2013	OULX	Italy
2013	28	34	"3 stations, background, urban"	measured data	2013	PADOVA	Italy
2013	18	34	"2 stations, background, urban"	measured data	2013	PARMA	Italy
2013	25	38	"1 station, industrial, urban"	measured data	2013	PARONA	Italy
2013	23	35	"2 stations, background, urban"	measured data	2013	PAVIA	Italy
2013	14	22	"3 stations, background, urban"	measured data	2013	PERUGIA	Italy
2013	23	31	"2 stations, traffic, urban"	measured data	2013	PIACENZA	Italy
2013	9	13	"1 station, background, rural"	measured data	2013	PIEVE D'ALPAGO	Italy
2013	27	41	"1 station, background, urban"	measured data	2013	PIOLTELLO	Italy
2013	15	23	"1 station, industrial, suburban"	measured data	2013	PIOMBINO	Italy
2013	16	25	"2 stations, background, urban"	measured data	2013	PISA	Italy
2013	15	23	"1 station, background, urban"	measured data	2013	PISTOIA	Italy
2013	12	18	"1 station, background, urban"	measured data	2013	POGGIBONSI	Italy
2013	6	10	"1 station, background, suburban"	measured data	2013	POMARANCE	Italy
2013	24	31	"1 station, background, rural"	measured data	2013	PONTI SUL MINCIO	Italy
2013	6	9	"1 station, background, rural"	measured data	2013	PORRETTA TERME	Italy
2013	8	23	"1 station, background, urban"	measured data	2013	PORTO TORRES	Italy
2013	13	23	"2 stations, background, suburban"	measured data	2013	PORTOSCUSO	Italy
2013	20	29	"2 stations, traffic, urban"	measured data	2013	PRATO	Italy
2013	21	32	"1 station, background, urban"	measured data	2013	QUARTU SANT'ELENA	Italy
2013	13	20	"1 station, industrial, suburban"	measured data	2013	QUILIANO	Italy
2013	18	28	"1 station, traffic, urban"	measured data	2013	RAPALLO	Italy
2013	18	27	"2 stations, traffic, urban"	measured data	2013	RAVENNA	Italy
2013	19	31	"2 stations, traffic, urban"	measured data	2013	REGGIO NELL'EMILIA	Italy
2013	28	42	"1 station, industrial, suburban"	measured data	2013	REZZATO	Italy
2013	15	21	"1 station, traffic, urban"	measured data	2013	RIETI	Italy
2013	20	31	"2 stations, background, urban"	measured data	2013	RIMINI	Italy
2013	14	21	"1 station, background, urban"	measured data	2013	RIVA DEL GARDA	Italy
2013	17	28	"13 stations, traffic, urban"	measured data	2013	ROMA	Italy
2013	15	19	"1 station, background, urban"	measured data	2013	ROVERETO	Italy
2013	25	33	"2 stations, background, urban"	measured data	2013	ROVIGO	Italy
2013	22	45	"2 stations, traffic, urban"	measured data	2013	SALERNO	Italy
2013	15	23	"1 station, background, rural"	measured data	2013	SALICETO	Italy
2013	24	36	"1 station, traffic, urban"	measured data	2013	SAN BONIFACIO	Italy
2013	14	21	-	converted from PM2.5	2013	SAN CLEMENTE	Italy
2013	26	39	-	converted from PM2.5	2013	SAN DONA' DI PIAVE	Italy
2013	16	25	"1 station, traffic, urban"	measured data	2013	SAN LAZZARO DI SAVENA	Italy
2013	16	24	"1 station, background, suburban"	measured data	2013	SAN PANCRAZIO SALENTINO	Italy
2013	15	23	"1 station, industrial, suburban"	measured data	2013	SAN PIETRO VERNOTICO	Italy
2013	20	30	"1 station, background, suburban"	measured data	2013	SAN ROCCO AL PORTO	Italy
2013	18	27	"1 station, background, suburban"	measured data	2013	SANTA CROCE SULL'ARNO	Italy
2013	11	17	"1 station, background, urban"	measured data	2013	SANTA GIUSTA	Italy
2013	23	35	"1 station, background, rural"	measured data	2013	SANTA GIUSTINA IN COLLE	Italy
2013	14	21	"1 station, traffic, suburban"	measured data	2013	SANTO STEFANO DI MAGRA	Italy
2013	21	31	"1 station, industrial, urban"	measured data	2013	SAREZZO	Italy
2013	22	30	"1 station, background, urban"	measured data	2013	SARONNO	Italy
2013	10	20	"1 station, background, urban"	measured data	2013	SARROCH	Italy
2013	8	18	"2 stations, traffic, suburban"	measured data	2013	SASSARI	Italy
2013	17	26	"1 station, background, urban"	measured data	2013	SASSUOLO	Italy
2013	17	29	"1 station, background, suburban"	measured data	2013	SAVIGNANO SUL RUBICONE	Italy
2013	13	18	"3 stations, traffic, urban"	measured data	2013	SAVONA	Italy
2013	16	24	"1 station, background, urban"	measured data	2013	SCANDICCI	Italy
2013	16	25	"1 station, background, urban"	measured data	2013	SCHIO	Italy
2013	27	32	"1 station, background, rural"	measured data	2013	SCHIVENOGLIA	Italy
2013	33	39	"1 station, traffic, urban"	measured data	2013	SETTIMO TORINESE	Italy
2013	6	11	"1 station, background, rural-remote"	measured data	2013	SEULO	Italy
2013	10	15	"1 station, background, urban"	measured data	2013	SINISCOLA	Italy
2013	19	25	"2 stations, traffic, urban"	measured data	2013	SONDRIO	Italy
2013	34	42	"1 station, traffic, suburban"	measured data	2013	SORESINA	Italy
2013	15	21	"3 stations,background urban, industrial, suburban"	measured data	2013	SPOLETO	Italy
2013	12	18	"1 station, background, suburban"	measured data	2013	SUSA	Italy
2013	14	22	"6 stations, background urban, traffic urban, industrial, suburban"	measured data	2013	TARANTO	Italy
2013	23	35	"1 station, background, suburban"	measured data	2013	TAVAZZANO CON VILLAVESCO	Italy
2013	22	32	"3 stations, traffic, urban"	measured data	2013	TERNI	Italy
2013	23	35	"1 station, industrial, suburban"	measured data	2013	TORCHIAROLO	Italy
2013	12	17	"1 station, background, rural"	measured data	2013	TORGIANO	Italy
2013	26	39	"2 stations, background, urban"	measured data	2013	TORINO	Italy
2013	16	24	"2 stations, background, urban"	measured data	2013	TRENTO	Italy
2013	23	35	"1 station, traffic, urban"	measured data	2013	TREVIGLIO	Italy
2013	23	34	"1 station, background, urban"	measured data	2013	TREVISO	Italy
2013	15	22	"4 stations, background urban, industrial, suburban"	measured data	2013	TRIESTE	Italy
2013	11	16	"1 station, background, suburban"	measured data	2013	TRIVERO	Italy
2013	19	28	"1 station, background, urban"	measured data	2013	TURBIGO	Italy
2013	16	23	"1 station, background, urban"	measured data	2013	UDINE	Italy
2013	15	22	"1 station, traffic, urban"	measured data	2013	VADO LIGURE	Italy
2013	16	24	"1 station, background, suburban"	measured data	2013	VALMADRERA	Italy
2013	22	28	"1 station, traffic, urban"	measured data	2013	VARESE	Italy
2013	22	33	"1 station, background, urban"	measured data	2013	VENAFRO	Italy
2013	25	32	"4 stations, background, urban"	measured data	2013	VENEZIA	Italy
2013	12	17	"1 station, background, urban"	measured data	2013	VERBANIA	Italy
2013	23	33	"2 stations, traffic, urban"	measured data	2013	VERCELLI	Italy
2013	21	34	"2 stations, traffic, urban"	measured data	2013	VERONA	Italy
2013	12	19	"1 station, background, suburban"	measured data	2013	VERUCCHIO	Italy
2013	5	8	"1 station, background, rural"	measured data	2013	VEZZANO	Italy
2013	18	27	"1 station, background, urban"	measured data	2013	VIAREGGIO	Italy
2013	27	36	"2 stations, background, urban"	measured data	2013	VICENZA	Italy
2013	5	8	"1 station, background, rural"	measured data	2013	VILLA MINOZZO	Italy
2013	20	29	"1 station, background, rural"	measured data	2013	VINCHIO	Italy
2013	11	19	"1 station, traffic, urban"	measured data	2013	VITERBO	Italy
2013	18	27	"1 station, background, urban"	measured data	2013	VOGHERA	Italy
2012	26	48	"10 stations, NA"	measured data	2012	Kingston	Jamaica
2012	13	24	"3 stations, NA"	measured data	2012	Northern St. Catherine	Jamaica
2012	18	34	"3 stations, NA"	measured data	2012	"Old Harbour Plains, St. Catherine"	Jamaica
2012	29	54	"1 station, NA"	measured data	2012	Portmore	Jamaica
2012	14	25	"4 stations, NA"	measured data	2012	South Eastern Manchester	Jamaica
2012	23	42	"2 stations, NA"	measured data	2012	Vere Plains Clarendon	Jamaica
2012	19	35	-	converted from PM2.5	2012	Fukuoka city	Japan
2012	14	26	-	converted from PM2.5	2012	Gifu city	Japan
2012	13	24	-	converted from PM2.5	2012	Hachioji city	Japan
2012	18	35	-	converted from PM2.5	2012	Kagoshima city	Japan
2012	15	28	-	converted from PM2.5	2012	Kyoto city	Japan
2012	16	30	-	converted from PM2.5	2012	Nagoya city	Japan
2012	13	24	-	converted from PM2.5	2012	Niigata city	Japan
2012	17	31	-	converted from PM2.5	2012	Okayama city	Japan
2012	15	28	-	converted from PM2.5	2012	Okinawa city	Japan
2012	17	32	-	converted from PM2.5	2012	Osaka city	Japan
2012	10	19	-	converted from PM2.5	2012	Sapporo city	Japan
2012	12	22	-	converted from PM2.5	2012	Sendai city	Japan
2012	12	22	-	converted from PM2.5	2012	Shizuoka city	Japan
2012	15	28	-	converted from PM2.5	2012	Tokyo	Japan
2012	15	29	-	converted from PM2.5	2012	Yokohama city	Japan
2015	19	45	-	converted from PM2.5	2015	Al-Karak	Jordan
2015	54	128	"3 stations, residential"	measured data	2015	Al-Zarqa'	Jordan
2015	36	68	"5 stations, commercial"	measured data	2015	Amman	Jordan
2015	23	69	"2 stations, residential/commercial"	measured data	2015	Irbid	Jordan
2009	17	33	-	converted from PM2.5	2009	Nairobi	Kenya
2014	64	168	"1 station, NA"	measured data	2014	Al-Ahmadi	Kuwait
2014	44	107	"1 station, NA"	measured data	2014	Al-Fahaheel	Kuwait
2014	74	179	"1 station, NA"	measured data	2014	Ali Subah Al-Salem	Kuwait
2014	49	117	"1 station, NA"	measured data	2014	Al-Jahra	Kuwait
2014	68	165	"1 station, NA"	measured data	2014	Al-Mansouriya	Kuwait
2014	47	114	"1 station, NA"	measured data	2014	Al-Mutla	Kuwait
2014	58	141	"1 station, NA"	measured data	2014	Al-Rumaithyia	Kuwait
2014	64	153	"1 station, NA"	measured data	2014	Al-Salam	Kuwait
2014	88	212	"1 station, NA"	measured data	2014	Al-Shuwaikh	Kuwait
2014	46	112	"1 station, NA"	measured data	2014	Saad Al-Abdullah	Kuwait
2014	26	63	"1 station, NA"	measured data	2014	Shuaiba	Kuwait
2013	18	24	"1 station, traffic, urban"	measured data	2013	LIEPAJA	Latvia
2013	18	22	"1 station, traffic, urban"	measured data	2013	REZEKNE	Latvia
2013	17	34	"3 stations, traffic, urban"	measured data	2013	Riga	Latvia
2013	12	17	"2 stations, background, urban"	measured data	2013	VENTSPILS	Latvia
2014	26	34	"1 station, Rural background"	measured data	2014	Baalbak	Lebanon
2014	32	41	"2 stations, urban background"	measured data	2014	Beirut	Lebanon
2014	30	37	"1 station, Urban background"	measured data	2014	Saida	Lebanon
2014	33	40	"1 station, Urban background"	measured data	2014	Zahle	Lebanon
2009	9	66	"1 station, 1 station: rural, 500m away from community, Osris"	measured data	2009	Buchanan (rural)	Liberia
2009	10	52	"1 station, 1 station: rural, within the community, Osiris monitors"	measured data	2009	Sanniquellie (rural)	Liberia
2013	18	28	"1 station, industrial, urban"	measured data	2013	JONAVA	Lithuania
2013	19	27	"2 stations, traffic, urban"	measured data	2013	KAUNAS	Lithuania
2013	20	30	"1 station, industrial, urban"	measured data	2013	KEDAINIAI	Lithuania
2013	20	32	"2 stations, traffic, urban"	measured data	2013	KLAIPEDA	Lithuania
2013	18	28	"1 station, industrial, urban"	measured data	2013	MAZEIKIAI	Lithuania
2013	17	26	"1 station, background, urban"	measured data	2013	NAUJOJI AKMENE	Lithuania
2013	20	31	"1 station, background, urban"	measured data	2013	PANEVEZYS	Lithuania
2013	24	37	"1 station, traffic, urban"	measured data	2013	SIAULIAI	Lithuania
2013	23	27	"4 stations, background, urban"	measured data	2013	VILNIUS	Lithuania
2013	12	16	"1 station, background, rural-regional"	measured data	2013	BEKERICH	Luxembourg
2013	16	22	"1 station, traffic, urban"	measured data	2013	ESCH-SUR-ALZETTE	Luxembourg
2013	16	22	"3 stations, traffic, urban"	measured data	2013	LUXEMBOURG	Luxembourg
2008	37	60	"1 station, NA"	measured data	2008	Antanarivo	Madagascar
2014	18	34	"1 station, NA"	measured data	2014	Bayan Lepas	Malaysia
2014	14	27	"1 station, NA"	measured data	2014	Kuantan	Malaysia
2014	14	26	"1 station, NA"	measured data	2014	Kuching	Malaysia
2014	25	47	"1 station, NA"	measured data	2014	Petaling Jaya	Malaysia
2014	16	30	"1 station, NA"	measured data	2014	Senai	Malaysia
2014	10	20	"1 station, NA"	measured data	2014	Tanah Rata	Malaysia
2011	11	20	"1 station, 1 station: no information given"	measured data	2011	Male	Maldives
2013	11	25	"1 station, background, rural-regional"	measured data	2013	GHARB	Malta
2013	18	38	"1 station, traffic, urban"	measured data	2013	MSIDA	Malta
2013	13	27	"1 station, industrial, urban"	measured data	2013	PAOLA	Malta
2013	10	23	-	converted from PM2.5	2013	ZEJTUN	Malta
2011	67	131	"1 station, 1 station: in town of Beau Bassin/Rose Hill"	measured data	2011	"Beau Bassin/Rose Hill, Coromandel"	Mauritius
2010	19	37	"1 station, 1 station: in Placq (rural)"	measured data	2010	"Bramsthan, Flacq"	Mauritius
2011	10	20	"1 station, 1 station: rural"	measured data	2011	Midlands	Mauritius
2015	14	27	-	converted from PM2.5	2015	Port Louis	Mauritius
2015	14	27	-	converted from PM2.5	2015	Vacoas	Mauritius
2011	19	41	9 stations	measured data	2011	Guadalajara	Mexico
2011	26	55	3 stations	measured data	2011	Irapuato	Mexico
2011	27	58	3 stations	measured data	2011	Leòn	Mexico
2014	20	42	"9 stations, NA"	measured data	2014	Mexico city	Mexico
2011	36	86	"1 station, NA"	measured data	2011	Monterrey	Mexico
2011	20	32	4 stations	measured data	2011	Puebla	Mexico
2011	28	60	3 stations	measured data	2011	Salamanca	Mexico
2011	24	51	"1 station, 1 station"	measured data	2011	Silao	Mexico
2011	33	80	"1 station, 1 station"	measured data	2011	Toluca	Mexico
2013	9	15	"1 station, Urban background"	measured data	2013	Monaco	Monaco
2010	75	165	"1 station, NA"	measured data	2010	Ulaanbaatar	Mongolia
2014	25	28	"1 station, 1 urban background stations"	measured data	2014	Bar	Montenegro
2014	23	43	"1 station, 1 urban background stations"	measured data	2014	Nikšic	Montenegro
2014	42	77	"1 station, 1 urban background stations"	measured data	2014	Pljevlja	Montenegro
2014	22	34	"1 station, 1 urban traffic stations"	measured data	2014	Podgorica	Montenegro
2014	16	26	-	converted from PM2.5	2014	Tivat	Montenegro
2013	26	61	"4 stations, urban background station"	measured data	2013	Casablanca	Morocco
2013	17	40	"1 station, urban background station"	measured data	2013	Fès	Morocco
2012	24	58	"2 stations, urban background station"	measured data	2012	Marrakech	Morocco
2008	29	47	"1 station, urban"	measured data	2009	Meknes	Morocco
2011	9	21	"1 station, urban background station"	measured data	2011	Safi	Morocco
2011	13	31	"1 station, urban background station"	measured data	2011	Salé	Morocco
2013	24	57	"1 station, urban background station"	measured data	2013	Tanger	Morocco
2013	42	76	"1 station, NA"	measured data	2013	Kathar	Myanmar
2013	50	89	"1 station, NA"	measured data	2013	Kyauk Pa Taung	Myanmar
2009	76	136	"1 station, NA"	measured data	2009	Kyaukphyu	Myanmar
2012	69	124	"1 station, NA"	measured data	2012	Mawlamyaing	Myanmar
2013	33	59	"1 station, NA"	measured data	2013	Meikhtilar	Myanmar
2012	71	127	"1 station, NA"	measured data	2012	Namkham	Myanmar
2012	17	31	"1 station, NA"	measured data	2012	Namthu	Myanmar
2013	51	91	"1 station, NA"	measured data	2013	Nyaung Oo	Myanmar
2013	25	44	"1 station, NA"	measured data	2013	Pyay-Aunglan	Myanmar
2012	78	140	"1 station, NA"	measured data	2012	Pyin Oo Lwin	Myanmar
2009	44	80	"1 station, NA"	measured data	2009	Sintgaing	Myanmar
2013	76	137	"1 station, NA"	measured data	2013	Taungoo	Myanmar
2009	44	80	"1 station, NA"	measured data	2009	Thaungtha	Myanmar
2009	67	120	"1 station, NA"	measured data	2009	Yenanchaung	Myanmar
2013	49	88	-	converted from PM2.5	2013	Kathmandu	Nepal
2013	16	23	"9 stations, traffic, urban"	measured data	2013	AMSTERDAM	Netherlands
2013	13	21	"1 station, industrial, unknown"	measured data	2013	BEVERWIJK	Netherlands
2013	15	22	"2 stations, traffic, suburban"	measured data	2013	BREDA	Netherlands
2013	13	20	"1 station, background, rural-regional"	measured data	2013	DE RIJP	Netherlands
2013	14	23	"3 stations, background, urban"	measured data	2013	DEN HAAG	Netherlands
2013	16	24	"1 station, background, urban"	measured data	2013	DORDRECHT	Netherlands
2013	15	23	"2 stations, traffic, urban"	measured data	2013	EINDHOVEN	Netherlands
2013	14	21	-	converted from PM2.5	2013	ENSCHEDE	Netherlands
2013	13	24	"1 station, traffic, urban"	measured data	2013	GRONINGEN	Netherlands
2013	16	23	"2 stations, traffic, urban"	measured data	2013	HEERLEN	Netherlands
2013	14	22	"1 station, traffic, urban"	measured data	2013	HILVERSUM	Netherlands
2013	13	26	"1 station, industrial, unknown"	measured data	2013	HOEK VAN HOLLAND	Netherlands
2013	14	22	"1 station, background, unknown"	measured data	2013	HOOFDDORP	Netherlands
2013	16	26	"1 station, industrial, urban"	measured data	2013	IJMUIDEN	Netherlands
2013	14	21	"1 station, traffic, urban"	measured data	2013	LEIDEN	Netherlands
2013	13	20	"1 station, industrial, urban"	measured data	2013	MAASSLUIS	Netherlands
2013	12	19	"1 station, background, rural"	measured data	2013	MOERDIJK	Netherlands
2013	15	24	"1 station, traffic, urban"	measured data	2013	NIJMEGEN	Netherlands
2013	15	24	"8 stations, background, urban"	measured data	2013	ROTTERDAM	Netherlands
2013	15	20	"1 station, background, urban"	measured data	2013	SCHIEDAM	Netherlands
2013	13	20	-	converted from PM2.5	2013	UTRECHT	Netherlands
2013	17	28	"2 stations, industrial, unknown"	measured data	2013	VELSEN	Netherlands
2013	16	26	"1 station, industrial, urban"	measured data	2013	WIJK AAN ZEE	Netherlands
2013	15	24	"2 stations, , urban"	measured data	2013	ZAANDAM	Netherlands
2012	11	22	"1 station, NA"	measured data	2012	Alexandra	New Zealand
2012	10	21	"1 station, NA"	measured data	2012	Ashburton	New Zealand
2012	6	14	13 stations	measured data	2012	Auckland	New Zealand
2012	9	19	"1 station, NA"	measured data	2012	Blenheim	New Zealand
2012	10	21	"2 stations, NA"	measured data	2012	Christchurch	New Zealand
2012	9	18	"1 station, NA"	measured data	2012	Dunedin	New Zealand
2012	10	20	"1 station, NA"	measured data	2012	Geraldine	New Zealand
2012	11	23	"1 station, NA"	measured data	2012	Gore	New Zealand
2012	7	13	"1 station, NA"	measured data	2012	Hamilton	New Zealand
2012	7	15	"1 station, NA"	measured data	2012	Hastings	New Zealand
2012	9	18	"1 station, NA"	measured data	2012	Hawkes Bay	New Zealand
